"brain__g1"	"heart__g2"	"kidney__g3"	"liver__g4"	"skeletal.muscle.organ__g5"
"ENSGALG00000000003"	551	0	4	0	0
"ENSGALG00000000048"	142	138	3888	47	23
"ENSGALG00000000059"	10252	70	45	9	8
"ENSGALG00000000067"	479	121	4656	2708	59
"ENSGALG00000000109"	184	348	621	2117	43
"ENSGALG00000000112"	22181	20	5	23	50
"ENSGALG00000000154"	36	33	538	95	1
"ENSGALG00000000164"	61	11	5	3	22191
"ENSGALG00000000168"	469	56	11	1	4
"ENSGALG00000000172"	0	0	0	0	314
"ENSGALG00000000186"	2296	239	873	227	148
"ENSGALG00000000195"	852	103	54	130	54
"ENSGALG00000000209"	6679	872	4655	377	367
"ENSGALG00000000217"	3147	4	7	0	2
"ENSGALG00000000226"	295	25	84	7	38
"ENSGALG00000000227"	9494	958	562	93	159
"ENSGALG00000000234"	69	30	309	83	22
"ENSGALG00000000244"	1820	209	14	1	29
"ENSGALG00000000284"	1	391	1476	51	110
"ENSGALG00000000293"	136	92	107	78015	29
"ENSGALG00000000295"	81	13	251	1	13270
"ENSGALG00000000302"	3	69126	25	0	29
"ENSGALG00000000309"	0	56	5693	121	3
"ENSGALG00000000311"	257	504	1540	102	25
"ENSGALG00000000313"	4	3471	8	0	11
"ENSGALG00000000314"	2563	9	2	0	1
"ENSGALG00000000317"	3104	6	2	1	0
"ENSGALG00000000318"	157	718	1216	173	116
"ENSGALG00000000329"	6099	695	2269	1310	165
"ENSGALG00000000336"	2566	8283	771	218	3651
"ENSGALG00000000337"	1241	10	5	0	2
"ENSGALG00000000341"	0	0	309	0	0
"ENSGALG00000000357"	4	10	765	60	10
"ENSGALG00000000367"	372	0	11	3	2
"ENSGALG00000000371"	469	0	0	23	0
"ENSGALG00000000374"	413	258	2135	821	88
"ENSGALG00000000394"	10687	1152	1	0	4
"ENSGALG00000000400"	985	35	9	0	5
"ENSGALG00000000417"	64	99	9195	10	18
"ENSGALG00000000433"	1275	399	216	102	2296
"ENSGALG00000000442"	1401	79	15	3	8
"ENSGALG00000000476"	1031	36	26	10	9
"ENSGALG00000000478"	3910	149	646	17	72
"ENSGALG00000000498"	193	1650	4274	4	262
"ENSGALG00000000505"	90	1451	1	0	90
"ENSGALG00000000507"	1692	9	8	7	0
"ENSGALG00000000521"	1662	13	113	975	71
"ENSGALG00000000557"	211	11	35	1097	18
"ENSGALG00000000558"	1266	1999	92	27	4
"ENSGALG00000000560"	21	506	90	34	81
"ENSGALG00000000585"	635	9	6	117	5
"ENSGALG00000000604"	1185	22	16	0	1
"ENSGALG00000000606"	3949	740	854	376	416
"ENSGALG00000000607"	4109	27	25	7	4
"ENSGALG00000000608"	8	4	5474	3125	4
"ENSGALG00000000613"	8719	1195	2355	836	529
"ENSGALG00000000616"	7	13	825	165	0
"ENSGALG00000000618"	894	191	318	73	116
"ENSGALG00000000619"	174	46	219	4774	22
"ENSGALG00000000621"	975	3058	995	310	237
